time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-04-29 00:00:00+00:00,47,12,0,0
2026-04-30 00:00:00+00:00,34,8,0,0
2026-05-01 00:00:00+00:00,28,8,0,0
2026-05-02 00:00:00+00:00,32,8,0,0
2026-05-03 00:00:00+00:00,33,10,0,0
2026-05-04 00:00:00+00:00,42,14,0,0
2026-05-05 00:00:00+00:00,33,9,0,0
2026-05-06 00:00:00+00:00,24,6,0,0
2026-05-07 00:00:00+00:00,10,5,0,0
2026-05-08 00:00:00+00:00,13,7,14,2
2026-05-09 00:00:00+00:00,32,11,1,1
2026-05-10 00:00:00+00:00,7,2,0,0
2026-05-11 00:00:00+00:00,32,9,0,0
2026-05-12 00:00:00+00:00,34,7,0,0
